project,dereferences,baseline_writes,critical_writes,dedup_critical,criticality_rate,raw_criticality_rate,crit_heap,crit_cond,crit_ret,crit_call,crit_io,crit_rsrc,flow_heap_cond,flow_rsrc_cond,flow_ret_cond,flow_call_cond,flow_heap_ret,flow_heap_call,flow_rsrc_ret
busybox,7224,6324,2194,979,0.15480708412397218,0.346932321315623,768,530,120,502,49,225,261,117,65,306,54,209,26
coreutils,2569,3143,722,352,0.11199490932230353,0.22971683105313395,238,190,63,173,5,53,80,32,35,97,19,61,20
curl,7305,7733,3509,1357,0.17548170179749126,0.45376955903271693,1291,759,503,660,13,283,383,142,349,445,300,361,72
flex,508,311,199,72,0.2315112540192926,0.639871382636656,58,52,3,26,3,57,22,28,0,20,0,24,0
git-src,20721,16878,6783,3124,0.18509302050005924,0.40188410949164594,2108,1901,518,1487,66,703,689,388,352,1087,191,595,128
htop,3817,3731,1621,723,0.1937818279281694,0.4344679710533369,541,435,47,454,0,144,201,116,24,297,38,215,10
iproute2,4890,3814,1320,656,0.17199790246460409,0.34609334032511796,351,262,187,313,14,193,91,62,81,141,55,85,31
jq,1171,1328,420,180,0.1355421686746988,0.31626506024096385,197,65,52,97,0,9,41,2,22,37,27,49,0
libjpeg,4686,3411,1793,831,0.2436235708003518,0.5256523013778951,858,428,24,450,4,29,278,25,22,199,23,244,13
libpng,1579,1990,634,327,0.16432160804020102,0.3185929648241206,283,159,25,149,4,14,71,3,16,76,14,77,0
libsodium,1591,436,91,68,0.1559633027522936,0.20871559633027523,35,34,9,12,0,1,3,1,9,5,2,2,0
lighttpd,3615,3503,1286,620,0.17699115044247787,0.36711390236939767,419,385,85,324,1,72,154,29,68,223,44,145,15
lmdb,99,47,19,7,0.14893617021276595,0.40425531914893614,9,7,0,3,0,0,2,0,0,2,0,1,0
lua,1312,1243,465,277,0.22284794851166534,0.37409493161705554,180,73,60,152,0,0,34,0,19,49,43,49,0
lxc,3215,2977,895,442,0.14847161572052403,0.30063822640241855,255,287,73,214,0,66,80,39,41,161,19,77,10
mbedtls,2299,2294,483,255,0.11115954664341761,0.2105492589363557,157,108,102,116,0,0,40,0,47,46,13,44,0
mosquitto,2576,1941,916,416,0.21432251416795467,0.47192168985059246,229,316,156,186,1,28,120,17,140,161,42,65,7
nginx,16376,21759,9932,4294,0.1973436279240774,0.45645480031251434,4377,2982,608,1965,0,0,1596,0,469,1509,328,1166,0
openssl,22947,21286,6788,3293,0.15470262144132294,0.3188950483886122,2503,1886,933,1465,0,1,750,0,486,977,266,629,0
p11-kit,2068,1507,330,172,0.11413404114134042,0.21897810218978103,99,84,29,68,1,49,17,25,17,48,7,14,13
recutils,916,630,248,118,0.1873015873015873,0.39365079365079364,65,75,17,47,0,44,25,24,11,38,7,17,8
redis,10130,8218,2860,1502,0.1827695302993429,0.34801654903869556,974,831,159,855,24,17,269,11,91,464,70,347,0
snort3,213,110,10,8,0.07272727272727272,0.09090909090909091,9,1,0,0,0,0,1,0,0,0,0,0,0
strace,1630,866,156,100,0.11547344110854503,0.18013856812933027,55,46,10,28,0,17,9,5,6,20,0,4,0
systemd,31750,27147,5049,2272,0.08369248904114635,0.1859874019228644,1562,1385,928,1057,1,116,455,61,700,752,311,306,23
tmux,5941,4436,2634,1145,0.25811541929666365,0.5937781785392245,679,749,81,752,1,372,281,239,48,526,33,297,32
x264,4282,3607,1443,624,0.17299695037427223,0.40005544774050456,729,313,19,294,19,69,175,55,13,185,10,190,1
zstd,3396,3583,1470,595,0.16606195925202344,0.41027072285794025,445,446,103,373,11,92,196,64,68,273,42,195,2
