project,dereferences,baseline_writes,critical_writes,criticality_rate,crit_heap,crit_cond,crit_ret,crit_call,crit_io,crit_rsrc
busybox,7224,6324,2194,0.346932321315623,768,530,120,502,49,225
coreutils,2569,3143,722,0.22971683105313395,238,190,63,173,5,53
cpython,18406,14674,5077,0.3459860978601608,1417,1688,537,1422,1,12
curl,7305,7733,3509,0.45376955903271693,1291,759,503,660,13,283
flex,508,311,199,0.639871382636656,58,52,3,26,3,57
git-src,20721,16878,6783,0.40188410949164594,2108,1901,518,1487,66,703
htop,4071,3872,1733,0.44757231404958675,544,472,47,488,0,182
iproute2,4890,3814,1320,0.34609334032511796,351,262,187,313,14,193
jq,1171,1328,420,0.31626506024096385,197,65,52,97,0,9
libjpeg,4686,3411,1793,0.5256523013778951,858,428,24,450,4,29
libpng,1579,1990,634,0.3185929648241206,283,159,25,149,4,14
libsodium,1591,436,91,0.20871559633027523,35,34,9,12,0,1
lighttpd,3615,3503,1286,0.36711390236939767,419,385,85,324,1,72
lmdb,99,47,19,0.40425531914893614,9,7,0,3,0,0
lua,1312,1243,465,0.37409493161705554,180,73,60,152,0,0
lxc,3633,3280,998,0.3042682926829268,270,312,90,236,0,90
mbedtls,2299,2294,483,0.2105492589363557,157,108,102,116,0,0
mosquitto,2576,1941,916,0.47192168985059246,229,316,156,186,1,28
nginx,16376,21759,9932,0.45645480031251434,4377,2982,608,1965,0,0
openssl,22947,21286,6788,0.3188950483886122,2503,1886,933,1465,0,1
p11-kit,2068,1507,330,0.21897810218978103,99,84,29,68,1,49
recutils,916,630,248,0.39365079365079364,65,75,17,47,0,44
redis,11959,9684,3321,0.3429368029739777,1115,954,187,1024,24,17
snort3,213,110,10,0.09090909090909091,9,1,0,0,0,0
strace,1630,866,156,0.18013856812933027,55,46,10,28,0,17
systemd,31750,27147,5049,0.1859874019228644,1562,1385,928,1057,1,116
tmux,5941,4436,2634,0.5937781785392245,679,749,81,752,1,372
x264,4638,4015,1735,0.43212951432129515,872,397,21,357,19,69
zstd,3396,3583,1470,0.41027072285794025,445,446,103,373,11,92
