project,baseline_writes,dedup_critical,criticality_rate,ip_return_to_cond,ip_outparam_to_cond,ip_total,extended_rate
busybox,6324,979,0.15480708412397218,43,27,70,0.16587602783048702
coreutils,3143,352,0.11199490932230353,0,0,0,0.11199490932230353
curl,7733,1357,0.17548170179749126,144,59,203,0.20173283331178068
flex,311,72,0.2315112540192926,0,0,0,0.2315112540192926
git-src,16878,3124,0.18509302050005924,327,138,465,0.21264367816091953
htop,3731,723,0.1937818279281694,27,9,36,0.2034307156258376
iproute2,3814,656,0.17199790246460409,89,23,112,0.20136339800734138
jq,1328,180,0.1355421686746988,24,4,28,0.1566265060240964
libjpeg,3411,831,0.2436235708003518,0,6,6,0.24538258575197888
libpng,1990,327,0.16432160804020102,0,2,2,0.16532663316582916
libsodium,436,68,0.1559633027522936,0,0,0,0.1559633027522936
lighttpd,3503,620,0.17699115044247787,12,0,12,0.1804167856123323
lmdb,47,7,0.14893617021276595,0,2,2,0.19148936170212766
lua,1243,277,0.22284794851166534,46,1,47,0.2606596942880129
lxc,2977,442,0.14847161572052403,50,15,65,0.1703056768558952
mbedtls,2294,255,0.11115954664341761,56,12,68,0.14080209241499564
mosquitto,1941,416,0.21432251416795467,80,6,86,0.2586295723853684
nginx,21759,4294,0.1973436279240774,10,0,10,0.19780320786800865
openssl,21286,3293,0.15470262144132294,398,165,563,0.1811519308465658
p11-kit,1507,172,0.11413404114134042,0,0,0,0.11413404114134042
recutils,630,118,0.1873015873015873,0,0,0,0.1873015873015873
redis,8218,1502,0.1827695302993429,75,37,112,0.19639815040155756
snort3,110,8,0.07272727272727272,0,0,0,0.07272727272727272
strace,866,100,0.11547344110854503,0,0,0,0.11547344110854503
systemd,27147,2272,0.08369248904114635,696,234,930,0.11795041809408038
tmux,4436,1145,0.25811541929666365,8,8,16,0.2617222723174031
x264,3607,624,0.17299695037427223,4,6,10,0.17576933739950096
zstd,3583,595,0.16606195925202344,33,3,36,0.17610940552609544
